iter	Passed	Remaining
712	11653	4690
713	11669	4674
714	11685	4657
715	11701	4641
716	11718	4625
717	11733	4608
718	11749	4591
719	11764	4575
720	11779	4558
721	11794	4541
722	11809	4524
723	11825	4508
724	11841	4491
725	11858	4475
726	11873	4458
727	11887	4441
728	11903	4425
729	11921	4409
730	11938	4393
731	11954	4376
732	11971	4360
733	11991	4345
734	12007	4329
735	12025	4313
736	12041	4296
737	12057	4280
738	12073	4264
739	12090	4248
740	12106	4231
741	12124	4215
742	12139	4199
743	12157	4183
744	12172	4166
745	12188	4149
746	12204	4133
747	12220	4116
748	12236	4100
749	12251	4083
750	12267	4067
751	12283	4050
752	12299	4034
753	12316	4018
754	12332	4001
755	12347	3985
756	12363	3968
757	12380	3952
758	12396	3936
759	12413	3920
760	12429	3903
761	12446	3887
762	12463	3871
763	12480	3855
764	12495	3838
765	12511	3822
766	12526	3805
767	12542	3788
768	12558	3772
769	12574	3756
770	12591	3739
771	12608	3723
772	12626	3707
773	12643	3691
774	12659	3675
775	12674	3658
776	12690	3642
777	12707	3625
778	12723	3609
779	12739	3593
780	12754	3576
781	12771	3560
782	12786	3543
783	12801	3527
784	12817	3510
785	12831	3493
786	12848	3477
787	12864	3461
788	12881	3444
789	12897	3428
790	12912	3411
791	12928	3395
792	12943	3378
793	12959	3362
794	12975	3345
795	12993	3329
796	13009	3313
797	13026	3297
798	13041	3280
799	13056	3264
800	13071	3247
801	13088	3231
802	13104	3214
803	13120	3198
804	13135	3181
805	13150	3165
806	13166	3148
807	13182	3132
808	13196	3115
809	13212	3099
810	13227	3082
811	13243	3066
812	13260	3050
813	13276	3033
814	13291	3017
815	13307	3000
816	13323	2984
817	13339	2967
818	13354	2951
819	13369	2934
820	13385	2918
821	13401	2902
822	13417	2885
823	13433	2869
824	13450	2853
825	13467	2836
826	13482	2820
827	13500	2804
828	13517	2788
829	13534	2772
830	13550	2755
831	13566	2739
832	13583	2723
833	13599	2706
834	13615	2690
835	13630	2674
836	13647	2657
837	13662	2641
838	13678	2624
839	13693	2608
840	13709	2591
841	13725	2575
842	13741	2559
843	13756	2542
844	13772	2526
845	13788	2509
846	13805	2493
847	13820	2477
848	13836	2460
849	13852	2444
850	13868	2428
851	13883	2411
852	13899	2395
853	13914	2378
854	13931	2362
855	13948	2346
856	13966	2330
857	13982	2314
858	14000	2298
859	14016	2281
860	14032	2265
861	14047	2248
862	14063	2232
863	14079	2216
864	14094	2199
865	14109	2183
866	14125	2166
867	14140	2150
868	14155	2133
869	14172	2117
870	14188	2101
871	14204	2085
872	14220	2068
873	14236	2052
874	14252	2036
875	14269	2019
876	14284	2003
877	14300	1987
878	14316	1970
879	14332	1954
880	14348	1938
881	14363	1921
882	14380	1905
883	14396	1889
884	14412	1872
885	14428	1856
886	14445	1840
887	14460	1823
888	14477	1807
889	14493	1791
890	14508	1774
891	14524	1758
892	14540	1742
893	14558	1726
894	14573	1709
895	14588	1693
896	14606	1677
897	14623	1661
898	14639	1644
899	14654	1628
900	14671	1612
901	14687	1595
902	14704	1579
903	14720	1563
904	14736	1546
905	14752	1530
906	14767	1514
907	14783	1497
908	14799	1481
909	14814	1465
910	14830	1448
911	14845	1432
912	14860	1416
913	14877	1399
914	14892	1383
915	14908	1367
916	14923	1350
917	14939	1334
918	14955	1318
919	14970	1301
920	14986	1285
921	15005	1269
922	15026	1253
923	15045	1237
924	15061	1221
925	15076	1204
926	15092	1188
927	15107	1172
928	15122	1155
929	15137	1139
930	15154	1123
931	15169	1106
932	15184	1090
933	15199	1074
934	15215	1057
935	15230	1041
936	15246	1025
937	15261	1008
938	15277	992
939	15292	976
940	15307	959
941	15324	943
942	15340	927
943	15354	910
944	15371	894
945	15386	878
946	15401	861
947	15418	845
948	15434	829
949	15449	813
950	15465	796
951	15482	780
952	15498	764
953	15513	748
954	15530	731
955	15546	715
956	15563	699
957	15579	683
958	15594	666
959	15610	650
960	15627	634
961	15643	617
962	15658	601
963	15675	585
964	15692	569
965	15707	552
966	15723	536
967	15738	520
968	15754	504
969	15770	487
970	15785	471
971	15801	455
972	15817	438
973	15832	422
974	15847	406
975	15863	390
976	15878	373
977	15894	357
978	15910	341
979	15925	325
980	15940	308
981	15957	292
982	15971	276
983	15987	259
984	16003	243
